sp_I_05,fA_I_05,fB_I_05,qs_I_05,time_05
0.9705119,1.030574,1.0150417,1.0257252,2014-09-24 17:47:49.483
0.97175086,1.0319445,1.0170143,1.0272936,2014-09-24 17:47:50.483
0.97163093,1.0310421,1.0165976,1.0267105,2014-09-24 17:47:51.483
0.9696332,1.0286727,1.0138243,1.0243397,2014-09-24 17:47:52.483
0.9694753,1.0297314,1.0158794,1.026129,2014-09-24 17:47:53.483
0.97090733,1.0307779,1.015811,1.0257897,2014-09-24 17:47:54.483
0.97095793,1.0297925,1.0143988,1.0255564,2014-09-24 17:47:55.483
0.9694743,1.0300565,1.0160084,1.0258223,2014-09-24 17:47:56.483
0.9714216,1.0304061,1.015543,1.0258882,2014-09-24 17:47:57.483
0.9701932,1.0302482,1.0158778,1.0255622,2014-09-24 17:47:58.483
0.97165865,1.033032,1.0188321,1.0281987,2014-09-24 17:47:59.483
0.9697156,1.0296761,1.0151255,1.0250742,2014-09-24 17:48:00.483
0.9697141,1.0299921,1.0156548,1.0256871,2014-09-24 17:48:01.483
0.96927726,1.0301899,1.0155685,1.0255194,2014-09-24 17:48:02.483
0.9691983,1.0297092,1.0148538,1.0254892,2014-09-24 17:48:03.483
0.9718495,1.0336741,1.018405,1.0271538,2014-09-24 17:48:04.483
0.9698616,1.031559,1.0172336,1.0270121,2014-09-24 17:48:05.483
0.970764,1.0327811,1.0178471,1.0272826,2014-09-24 17:48:06.483
0.96952486,1.0312736,1.0163705,1.0257105,2014-09-24 17:48:07.483
0.97297347,1.0336442,1.0186385,1.0275402,2014-09-24 17:48:08.483
0.9699094,1.0311154,1.0158018,1.0258205,2014-09-24 17:48:09.483
0.9718368,1.0325831,1.0175217,1.026545,2014-09-24 17:48:10.483
0.9715098,1.0331079,1.0160332,1.0273671,2014-09-24 17:48:11.483
0.9701194,1.0304759,1.0163282,1.0256207,2014-09-24 17:48:12.483
0.97038454,1.0302658,1.0160784,1.0258545,2014-09-24 17:48:13.483
0.9716659,1.0327085,1.0180563,1.0266613,2014-09-24 17:48:14.483
